date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-09-05,PUT,440.79,420.0,0.21,0.22,0.215,322,376,11,0.0301369863013698,1.0495,ITM,17.2,0.0556,0.0005119047619047619
2023-08-25,2023-09-05,PUT,440.79,419.0,0.19,0.2,0.195,93,145,11,0.0301369863013698,1.0520047732696896,ITM,17.2,0.0556,0.00046539379474940337
2023-08-25,2023-09-05,PUT,440.79,418.0,0.18,0.19,0.185,348,30,11,0.0301369863013698,1.0545215311004783,ITM,17.2,0.0556,0.0004425837320574163
2023-08-25,2023-09-05,PUT,440.79,425.0,0.36,0.37,0.365,1235,467,11,0.0301369863013698,1.0371529411764706,ITM,17.2,0.0556,0.0008588235294117647
2023-08-25,2023-08-31,PUT,440.79,441.0,2.72,2.74,2.7300000000000004,6404,1388,6,0.0164383561643835,0.9995238095238096,ATM,17.2,0.0556,0.0061904761904761916
2023-08-25,2023-09-05,PUT,440.79,417.0,0.16,0.17,0.165,71,27,11,0.0301369863013698,1.05705035971223,ITM,17.2,0.0556,0.0003956834532374101
2023-08-25,2023-09-05,PUT,440.79,414.0,0.13,0.14,0.135,43,149,11,0.0301369863013698,1.0647101449275362,ITM,17.2,0.0556,0.00032608695652173916
2023-08-25,2023-09-05,PUT,440.79,413.0,0.13,0.14,0.135,11,10,11,0.0301369863013698,1.0672881355932202,ITM,17.2,0.0556,0.0003268765133171913
2023-08-25,2023-09-05,PUT,440.79,412.0,0.12,0.13,0.125,89,1,11,0.0301369863013698,1.069878640776699,ITM,17.2,0.0556,0.00030339805825242716
2023-08-25,2023-09-01,PUT,440.79,476.0,35.07,35.32,35.195,26,10,7,0.0191780821917808,0.9260294117647058,OTM,17.2,0.0556,0.07393907563025211
2023-08-25,2023-09-01,PUT,440.79,466.0,25.07,25.32,25.195,1,1,7,0.0191780821917808,0.945901287553648,OTM,17.2,0.0556,0.05406652360515021
2023-08-25,2023-09-01,PUT,440.79,465.0,24.07,24.32,24.195,1,4,7,0.0191780821917808,0.9479354838709676,OTM,17.2,0.0556,0.052032258064516126
2023-08-25,2023-09-01,PUT,440.79,464.0,23.07,23.32,23.195,1,1,7,0.0191780821917808,0.949978448275862,OTM,17.2,0.0556,0.04998922413793103
2023-08-25,2023-09-05,PUT,440.79,416.0,0.15,0.16,0.155,53,10,11,0.0301369863013698,1.059591346153846,ITM,17.2,0.0556,0.00037259615384615386
2023-08-25,2023-09-05,PUT,440.79,426.0,0.41,0.42,0.415,143,220,11,0.0301369863013698,1.0347183098591548,ITM,17.2,0.0556,0.0009741784037558685
2023-08-25,2023-09-05,PUT,440.79,415.0,0.14,0.15,0.145,73,4,11,0.0301369863013698,1.0621445783132528,ITM,17.2,0.0556,0.00034939759036144575
2023-08-25,2023-09-05,PUT,440.79,427.0,0.47,0.48,0.475,425,143,11,0.0301369863013698,1.032295081967213,ITM,17.2,0.0556,0.0011124121779859484
2023-08-25,2023-08-31,PUT,440.79,442.0,3.21,3.23,3.22,4677,4011,6,0.0164383561643835,0.997262443438914,ATM,17.2,0.0556,0.007285067873303168
2023-08-25,2023-08-31,PUT,440.79,444.0,4.37,4.41,4.390000000000001,304,3424,6,0.0164383561643835,0.9927702702702702,ATM,17.2,0.0556,0.009887387387387389
2023-08-25,2023-08-31,PUT,440.79,455.0,14.09,14.32,14.205,15,14,6,0.0164383561643835,0.9687692307692308,OTM,17.2,0.0556,0.03121978021978022
2023-08-25,2023-08-31,PUT,440.79,454.0,13.09,13.32,13.205,130,34,6,0.0164383561643835,0.9709030837004404,ATM,17.2,0.0556,0.029085903083700442
2023-08-25,2023-08-31,PUT,440.79,439.0,1.92,1.93,1.925,9304,3915,6,0.0164383561643835,1.0040774487471524,ATM,17.2,0.0556,0.00438496583143508
2023-08-25,2023-08-31,PUT,440.79,438.0,1.59,1.6,1.5950000000000002,10411,1525,6,0.0164383561643835,1.0063698630136986,ATM,17.2,0.0556,0.0036415525114155255
2023-08-25,2023-08-31,PUT,440.79,437.0,1.31,1.32,1.315,11905,5670,6,0.0164383561643835,1.0086727688787185,ATM,17.2,0.0556,0.003009153318077803
2023-08-25,2023-08-31,PUT,440.79,436.0,1.08,1.09,1.085,6658,935,6,0.0164383561643835,1.01098623853211,ATM,17.2,0.0556,0.002488532110091743
2023-08-25,2023-08-31,PUT,440.79,435.0,0.88,0.89,0.885,7852,5032,6,0.0164383561643835,1.0133103448275862,ATM,17.2,0.0556,0.0020344827586206895
2023-08-25,2023-08-31,PUT,440.79,434.0,0.71,0.72,0.715,5553,3434,6,0.0164383561643835,1.0156451612903226,ATM,17.2,0.0556,0.0016474654377880184
2023-08-25,2023-08-31,PUT,440.79,433.0,0.58,0.59,0.585,14319,1940,6,0.0164383561643835,1.0179907621247113,ATM,17.2,0.0556,0.0013510392609699768
2023-08-25,2023-08-31,PUT,440.79,443.0,3.76,3.78,3.77,1600,2140,6,0.0164383561643835,0.9950112866817156,ATM,17.2,0.0556,0.008510158013544019
2023-08-25,2023-08-31,PUT,440.79,432.0,0.47,0.48,0.475,25535,7083,6,0.0164383561643835,1.020347222222222,ATM,17.2,0.0556,0.0010995370370370369
2023-08-25,2023-08-31,PUT,440.79,440.0,2.29,2.31,2.3,14487,3504,6,0.0164383561643835,1.0017954545454544,ATM,17.2,0.0556,0.005227272727272727
2023-08-25,2023-09-01,PUT,440.79,437.0,1.61,1.62,1.6150000000000002,15449,11116,7,0.0191780821917808,1.0086727688787185,ATM,17.2,0.0556,0.003695652173913044
2023-08-25,2023-08-31,PUT,440.79,451.0,10.1,10.33,10.215,3,3,6,0.0164383561643835,0.977361419068736,ATM,17.2,0.0556,0.022649667405764965
2023-08-25,2023-08-31,PUT,440.79,450.0,9.15,9.36,9.255,16,13,6,0.0164383561643835,0.9795333333333331,ATM,17.2,0.0556,0.020566666666666667
2023-08-25,2023-08-31,PUT,440.79,449.0,8.22,8.42,8.32,20,128,6,0.0164383561643835,0.9817149220489976,ATM,17.2,0.0556,0.018530066815144765
2023-08-25,2023-08-31,PUT,440.79,448.0,7.34,7.52,7.43,87,423,6,0.0164383561643835,0.98390625,ATM,17.2,0.0556,0.016584821428571428
2023-08-25,2023-08-31,PUT,440.79,447.0,6.5,6.66,6.58,502,112,6,0.0164383561643835,0.9861073825503356,ATM,17.2,0.0556,0.014720357941834452
2023-08-25,2023-08-31,PUT,440.79,446.0,5.74,5.85,5.795,36,932,6,0.0164383561643835,0.988318385650224,ATM,17.2,0.0556,0.012993273542600896
2023-08-25,2023-08-31,PUT,440.79,445.0,5.04,5.1,5.07,135,2926,6,0.0164383561643835,0.9905393258426964,ATM,17.2,0.0556,0.011393258426966292
2023-08-25,2023-08-31,PUT,440.79,431.0,0.38,0.4,0.39,35901,6162,6,0.0164383561643835,1.0227146171693735,ATM,17.2,0.0556,0.0009048723897911833
2023-08-25,2023-09-05,PUT,440.79,437.0,1.94,1.95,1.945,1321,436,11,0.0301369863013698,1.0086727688787185,ATM,17.2,0.0556,0.004450800915331808
2023-08-25,2023-09-05,PUT,440.79,436.0,1.68,1.69,1.685,939,209,11,0.0301369863013698,1.01098623853211,ATM,17.2,0.0556,0.003864678899082569
2023-08-25,2023-09-05,PUT,440.79,435.0,1.46,1.47,1.465,2712,356,11,0.0301369863013698,1.0133103448275862,ATM,17.2,0.0556,0.003367816091954023
2023-08-25,2023-09-01,PUT,440.79,457.0,16.09,16.32,16.205,34,12,7,0.0191780821917808,0.9645295404814004,OTM,17.2,0.0556,0.03545951859956236
2023-08-25,2023-09-01,PUT,440.79,456.0,15.09,15.32,15.205,68,18,7,0.0191780821917808,0.9666447368421052,OTM,17.2,0.0556,0.03334429824561404
2023-08-25,2023-09-01,PUT,440.79,455.0,14.09,14.32,14.205,437,138,7,0.0191780821917808,0.9687692307692308,OTM,17.2,0.0556,0.03121978021978022
2023-08-25,2023-09-01,PUT,440.79,454.0,13.09,13.32,13.205,1310,986,7,0.0191780821917808,0.9709030837004404,ATM,17.2,0.0556,0.029085903083700442
2023-08-25,2023-09-01,PUT,440.79,453.0,12.09,12.32,12.205,1352,801,7,0.0191780821917808,0.973046357615894,ATM,17.2,0.0556,0.02694260485651214
2023-08-25,2023-09-01,PUT,440.79,452.5,11.59,11.82,11.705,2,273,7,0.0191780821917808,0.974121546961326,ATM,17.2,0.0556,0.025867403314917128
2023-08-25,2023-09-01,PUT,440.79,452.0,11.11,11.33,11.22,34,1343,7,0.0191780821917808,0.9751991150442476,ATM,17.2,0.0556,0.024823008849557522
2023-08-25,2023-09-01,PUT,440.79,451.0,10.13,10.35,10.24,97,378,7,0.0191780821917808,0.977361419068736,ATM,17.2,0.0556,0.02270509977827051
2023-08-25,2023-09-01,PUT,440.79,450.0,9.2,9.41,9.305,421,8936,7,0.0191780821917808,0.9795333333333331,ATM,17.2,0.0556,0.020677777777777778
2023-08-25,2023-09-01,PUT,440.79,457.5,16.57,16.82,16.695,1,5,7,0.0191780821917808,0.9634754098360656,OTM,17.2,0.0556,0.03649180327868853
2023-08-25,2023-09-01,PUT,440.79,449.0,8.31,8.5,8.405000000000001,124,4607,7,0.0191780821917808,0.9817149220489976,ATM,17.2,0.0556,0.018719376391982186
2023-08-25,2023-08-28,PUT,440.79,480.0,39.08,39.31,39.195,4,4,3,0.0082191780821917,0.9183125,OTM,17.2,0.0556,0.08165625
2023-08-25,2023-08-28,PUT,440.79,464.0,23.08,23.31,23.195,2,1,3,0.0082191780821917,0.949978448275862,OTM,17.2,0.0556,0.04998922413793103
